Year,Month,Ocean Temperature,Carbon Sequestration Rate
2011,Jan,16.4,91348
2011,Feb,16.6,91211
2011,Mar,17.1,90124
2011,Apr,17.2,89431
2011,May,18.2,87561
2011,Jun,18.6,86652
2011,Jul,19.9,82138
2011,Aug,21.4,80126
2011,Sep,18.6,85621
2011,Oct,17.2,88932
2011,Nov,16.7,94321
2011,Dec,16.6,90213
2012,Jan,16.6,89432
2012,Feb,16.6,89177
2012,Mar,17.4,87434
2012,Apr,17.6,86112
2012,May,17.9,85320
2012,Jun,18.9,83987
2012,Jul,19.7,81662
2012,Aug,21.2,79962
2012,Sep,19.7,81675
2012,Oct,18.1,86112
2012,Nov,16.1,89931
2012,Dec,16.3,89741
2013,Jan,17,93562
2013,Feb,16.2,89127
2013,Mar,17.9,87992
2013,Apr,17.2,87321
2013,May,18.7,85321
2013,Jun,19.6,82762
2013,Jul,19.4,80129
2013,Aug,20.5,79942
2013,Sep,19.2,82103
2013,Oct,18.1,84121
2013,Nov,17.7,87431
2013,Dec,16.3,87103
2014,Jan,16.8,88920
2014,Feb,16.3,93425
2014,Mar,17.5,86393
2014,Apr,17.9,86179
2014,May,19.5,82081
2014,Jun,19.7,81990
2014,Jul,20.3,79652
2014,Aug,21.9,78390
2014,Sep,19.2,81231
2014,Oct,17.9,85692
2014,Nov,16.8,88937
2014,Dec,16.2,91092
